gattung, count
Buntpapier,21559
Wasserzeichen,18004
Gebrauchsgegenstand,6098
Blatt,4771
Tunkpapier,3824
Brief,3743
Fantasiepapier,3609
Washi,3141
Modeldruck,2339
Imitationspapier,2128
Druckgrafik,1517
Kleisterpapier,1362
Faksimile,1337
Borten,1331
Bucheinband,1287
Plakat,1273
Sammlung,1065
Druckpapier,1020
Kupferstich,966
Kinderbuch,948
2001 - 2100,945
Ausgabe,933
Fotografie,931
Feldpost,929
Stahlstich,900
Künstlerbuch,897
Handbütten,848
Bibliophiles Buch,847
Tiefdruck,810
Illustriertes Buch,775
Druckform,753
Schreibpapier,734
Bildband,647
Gelatinepapier,630
Holzschnitt,580
Lithografie,566
Grafikmappe,560
Radierung,515
Druckwerk,493
Die @schönsten deutschen Bücher,467
Lithographisches Papier,461
Zeichnung,454
Sachbuch,443
Papier,422
1901 - 2000,415
Brokatpapier,391
Grafik,369
Prägedruck,350
Tapete,343
Gemälde,337
Japanisches Buntpapier,330
1501 - 1600,327
Holzstich,327
Initiale,295
Verlagseinband,280
Musterbuch,270
Druckfarbe,259
Siebdruck,248
Computergrafik,235
Schutzumschlag,228
Katalog,218
Achat-Marmor,216
Sammelband,215
Offsetdruck,214
Akte,213
Bildnis,211
Titelblatt,201
Postkarte,200
Gestrichenes Papier,195
Leipziger Vorsatzpapier,193
Lyrik,185
Mischtechnik,180
Marmorpapier,176
Glas,175
Negativ,175
Handschrift,158
Druckermarke,157
Buchgestaltung,156
Miniatur,156
Buchornamentik,154
Moiré-Papier,150
Ausstellungskatalog,148
Rundschreiben,144
1801 - 1900,138
Rot,136
Holzdruck,130
Akzidenz,129
Glanzpapier,129
Maschinenschreib,128
Collage,124
Kalender,122
Architektur,120
Reformationsliteratur,119
Geschichte,118
Schönste Bücher aus aller Welt,117
Kochbuch,117
Schablonenspritzpapier,115
Typografie,114
Gespritztes Papier,112
Metallpapier,107
Paginierung,104
Bilderbuch,103
1701 - 1800,102
Buchschnitt,102
1601 - 1700,96
Linolschnitt,95
Urkunde,90
Kaliko,89
Illustration,88
Farblithografie,87
Illustrationsdruckpapier,87
Inhaltsverzeichnis,86
Punktiermanier,85
Satzspiegel,85
Leporello,85
Anschlag,84
Titeleinfassung,83
Pressendruck,80
Farbholzschnitt,80
Monografische Reihe,78
Malerei,78
Manuskript,78
Tuschzeichnung,77
Vorsatz,76
Kolorierung,76
Jugendstil,75
Festgedicht,74
1801-1900,73
Verlegermarke,71
Einbanddecke,71
Politisches Plakat,71
Gelegenheitsschrift,70
Kindersachbuch,70
Kunstbuch,68
Schabkunst,68
Modelrollendruck,68
Lehrbuch,67
2009,67
Biografie,67
2007,66
Bankpostpapier,66
Autotypie,65
Gesprenkeltes Papier,65
Bucheinbandpapier,64
1701-1800,63
Kunstdruckpapier,63
Märchen,63
Tiefdruckpapier,63
2008,63
Vignette,62
Roman,61
Medaille,61
Aquarell,60
2006,60
Vergoldung,60
Anerkennung,60
"Handbütten ""Whatman""",60
Pop-up-Technik,60
Ausstellungsbuch,60
Simons,58
2005,58
Sabon,56
Werkdruck,56
Klischee,55
Maschinenpapier,55
China Buntpapiere,54
Geschenkpapier,54
Rechnung,54
Fachbuch,53
Schriftverkehr,53
Miniaturbuch,53
